id;nome;cnpj;localidade;segmento
1;EXE index clicks-and-mortar;Alameda parse;circuit override;Bola world-class
2;Congelado Metrics back-end;bifurcated payment Borders;SSL multi-byte Gostoso;auxiliary Marginal Paraná
3;circuit Coordinator Ethiopian;product Avon pele;Accounts navigate deposit;driver Madeira
4;Dinar Account virtual;Cambridgeshire Ferramentas;Genérico Account;Loan
5;niches Specialist;copy fuligem Future;Granito Persistent convergence;Argentina Paradigm
6;Gerais e-tailers grow;Licenciado digital;Avon Luvas;TCP Moldávia
7;panel Estados;Managed SSL synergistic;Senior cutting-edge caramelo;Fantástico
8;Síria Branding;Brinquedos input Fresco;Central;haptic open matrices
9;Lek Alameda;De-engineered;synthesize Algéria Anguila;Eletrônicos Sabonete Rua
10;explicit haptic;invoice navigating;Extended alarm;Rodovia
