id;nome;categoria;finalidade;descricao;ncm
1;Specialist;São Strategist Consultant;Anguila;Bicicleta vermelho program;time-frame Montenegro 1080p
2;Fantástico infomediaries;parse syndicate Beleza;Centralized Avon;parse Customer client-driven;bypass dourado
3;toolset;Aço;açafrão programming;transmitting;Rodovia Incrível programming
4;connecting;invoice one-to-one Won;revolutionize Moroccan Product;benchmark indexing integrated;system
5;açafrão superstructure;Metal Sul China;grená;application;turquesa Iraqi
6;Web architecture;Alameda Macio;Configuration;Regional Integration payment;Aço
7;vortals collaborative web-readiness;Buckinghamshire;Auto blockchains;Aço Berkshire;help-desk THX infrastructures
8;Travessa Esportes;migration;cohesive;Account Bacon;collaborative
9;navigate;Lek;matrix;Security Human Madeira;Chief SAS
10;array;digital;override deposit;Integration wireless Dynamic;Bicicleta
